BookName,BookId,ISSN,Auth,Category,Publisher,PublishTime,isBorrowed,Reserve,location
力学,1,1,刘斌,教育,中国科学技术大学 ,1999-01-01,0,10,Library
微积分,2,2,牛顿莱布尼兹,教育,中国科学技术大学,1998-01-01,0,10,Library
电动力学,3,3,叶邦角,教育,中国科学技术大学,2003-01-01,0,10,Library
数据库,4,4,袁平波,教育,中国科学技术大学,2010-01-01,0,10,Library
电磁学,5,5,叶邦角,教育,中国科学技术大学 ,2012-01-01,0,10,Library
数学分析,6,6,陈卿,教育,中国科学技术大学,2013-01-01,0,10,Library
吉米多维奇题解1,7,7,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
吉米多维奇题解2,8,8,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
吉米多维奇题解3,9,9,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
吉米多维奇题解4,10,10,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
吉米多维奇题解5,11,11,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
吉米多维奇题解6,12,12,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,10,Library
朗道力学,13,13,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道量子力学,14,14,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道量子电动力学,15,15,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道统计物理学,16,16,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道流体力学,17,17,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道弹性理论力学,18,18,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
朗道物理动力学,19,19,朗道,教育,高等教育出版社,2012-01-01,0,10,Library
植物学,20,20,佚名,生物学,高等教育出版社,2011-05-01,0,10,Library
动物学,21,21,佚名,生物学,高等教育出版社,2011-05-01,0,10,Library
细胞生物学,22,22,佚名,生物学,高等教育出版社,2011-05-01,0,10,Library
动物生理学,23,23,佚名,生物学,高等教育出版社,2011-05-01,0,10,Library
古生物学,24,24,佚名,生物学,高等教育出版社,2011-05-01,0,10,Library
高等数学,25,25,佚名,教育,高等教育出版社,2011-05-01,0,10,Library
线性代数,26,26,佚名,教育,高等教育出版社,2011-05-01,0,10,Library
C++程序设计,27,27,孙广中,教育,中国科学技术大学,2011-05-01,0,10,Library
C程序设计,28,28,郑重,教育,中国科学技术大学,2011-05-01,0,10,Library
数据结构,29,29,顾为兵,教育,中国科学技术大学,2011-05-01,0,10,Library
信号与系统,30,30,李卫平,教育,中国科学技术大学,2011-05-01,0,10,Library
线性电子线路,31,31,陆伟,教育,中国科学技术大学,2011-05-01,0,10,Library
朗道电动力学,32,32,朗道,教育,中国科学技术大学,2012-01-01,0,10,Library
Classical Mythology,33,195153448,Mark P. O. Morford,Education ,Oxford University Press,2002,0,10,Library
Clara Callan,34,2005018,Richard Bruce Wright,Education ,HarperFlamingo Canada,2001,0,10,Library
Decision in Normandy,35,60973129,Carlo D'Este,Education ,HarperPerennial,1991,0,10,Library
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,36,374157065,Gina Bari Kolata,Education ,Farrar Straus Giroux,1999,0,10,Library
The Mummies of Urumchi,37,393045218,E. J. W. Barber,Education ,W. W. Norton &amp; Company,1999,0,10,Library
The Kitchen God's Wife,38,399135782,Amy Tan,Education ,Putnam Pub Group,1991,0,10,Library
What If?: The World's Foremost Military Historians Imagine What Might Have Been,39,425176428,Robert Cowley,Education ,Berkley Publishing Group,2000,0,10,Library
PLEADING GUILTY,40,671870432,Scott Turow,Education ,Audioworks,1993,0,10,Library
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,41,679425608,David Cordingly,Education ,Random House,1996,0,10,Library
Where You'll Find Me: And Other Stories,42,074322678X,Ann Beattie,Education ,Scribner,2002,0,10,Library
Nights Below Station Street,43,771074670,David Adams Richards,Education ,Emblem Editions,1988,0,10,Library
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,44,080652121X,Adam Lebor,Education ,Citadel Press,2000,0,10,Library
The Middle Stories,45,887841740,Sheila Heti,Education ,House of Anansi Press,2004,0,10,Library
Jane Doe,46,1552041778,R. J. Kaiser,Education ,Mira Books,1999,0,10,Library
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),47,1558746218,Jack Canfield,Education ,Health Communications,1998,0,10,Library
The Witchfinder (Amos Walker Mystery Series),48,1567407781,Loren D. Estleman,Education ,Brilliance Audio - Trade,1998,0,10,Library
More Cunning Than Man: A Social History of Rats and Man,49,1575663937,Robert Hendrickson,Education ,Kensington Publishing Corp.,1999,0,10,Library
Goodbye to the Buttermilk Sky,50,1881320189,Julia Oliver,Education ,River City Pub,1994,0,10,Library
The Testament,51,440234743,John Grisham,Education ,Dell,1999,0,10,Library
Beloved (Plume Contemporary Fiction),52,452264464,Toni Morrison,Education ,Plume,1994,0,10,Library
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,53,609804618,The Onion,Education ,Three Rivers Press,1999,0,10,Library
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,54,1841721522,Celia Brooks Brown,Education ,Ryland Peters &amp; Small Ltd,2001,0,10,Library
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,55,1879384493,J. R. Parrish,Education ,Cypress House,2003,0,10,Library
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),56,61076031,Mary-Kate &amp; Ashley Olsen,Education ,HarperEntertainment,2000,0,10,Library
Tell Me This Isn't Happening,57,439095026,Robynn Clairday,Education ,Scholastic,1999,0,10,Library
Flood : Mississippi 1927,58,689821166,Kathleen Duey,Education ,Aladdin,1998,0,10,Library
Wild Animus,59,971880107,Rich Shapero,Education ,Too Far,2004,0,10,Library
Airframe,60,345402871,Michael Crichton,Education ,Ballantine Books,1997,0,10,Library
Timeline,61,345417623,MICHAEL CRICHTON,Education ,Ballantine Books,2000,0,10,Library
OUT OF THE SILENT PLANET,62,684823802,C.S. Lewis,Education ,Scribner,1996,0,10,Library
Prague : A Novel,63,375759778,ARTHUR PHILLIPS,Education ,Random House Trade Paperbacks,2003,0,10,Library
Chocolate Jesus,64,425163091,Stephan Jaramillo,Education ,Berkley Publishing Group,1998,0,10,Library
Wie Barney es sieht.,65,3404921038,Mordecai Richler,Education ,LÃ?Â¼bbe,2002,0,10,Library
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,66,3442353866,Eleanor Cooney,Education ,Goldmann,2001,0,10,Library
Sturmzeit. Roman.,67,3442410665,Charlotte Link,Education ,Goldmann,1991,0,10,Library
Tage der Unschuld.,68,3442446937,Richard North Patterson,Education ,Goldmann,2000,0,10,Library
Lying Awake,69,375406328,Mark Salzman,Education ,Alfred A. Knopf,2000,0,10,Library
To Kill a Mockingbird,70,446310786,Harper Lee,Education ,Little Brown &amp; Company,1988,0,10,Library
Seabiscuit: An American Legend,71,449005615,LAURA HILLENBRAND,Education ,Ballantine Books,2002,0,10,Library
Pigs in Heaven,72,60168013,Barbara Kingsolver,Education ,Harpercollins,1993,0,10,Library
Miss Zukas and the Raven's Dance,73,038078243X,Jo Dereske,Education ,Avon,1996,0,10,Library
Pride and Prejudice,74,055321215X,Jane Austen,Education ,Bantam,1983,0,10,Library
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,75,067176537X,Dolores Krieger,Education ,Fireside,1979,0,10,Library
Downtown,76,61099686,Anne Rivers Siddons,Education ,HarperTorch,1995,0,10,Library
Icebound,77,553582909,Dean R. Koontz,Education ,Bantam Books,2000,0,10,Library
I'll Be Seeing You,78,671888587,Mary Higgins Clark,Education ,Pocket,1994,0,10,Library
From the Corner of His Eye,79,553582747,Dean Koontz,Education ,Bantam Books,2001,0,10,Library
Isle of Dogs,80,425182908,Patricia Cornwell,Education ,Berkley Publishing Group,2002,0,10,Library
Purity in Death,81,042518630X,J.D. Robb,Education ,Berkley Publishing Group,2002,0,10,Library
This Year It Will Be Different: And Other Stories,82,440223571,Maeve Binchy,Education ,Dell,1997,0,10,Library
Proxies,83,812523873,Laura J. Mixon,Education ,Tor Books,1999,0,10,Library
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),84,842342702,Tim Lahaye,Education ,Tyndale House Publishers,2000,0,10,Library
The Street Lawyer,85,440225701,JOHN GRISHAM,Education ,Dell,1999,0,10,Library
"Love, Medicine and Miracles",86,60914068,M.D. Bernie S. Siegel,Education ,HarperCollins Publishers,1988,0,10,Library
All the King's Men,87,156047624,Robert Penn Warren,Education ,Harvest Books,1982,0,10,Library
Pacific Northwest,88,245542957,Hans Johannes Hoefer,Education ,Chambers Harrap Publishers Ltd,1985,0,10,Library
A Soldier of the Great War,89,380715899,Mark Helprin,Education ,Avon Books,1992,0,10,Library
Getting Well Again,90,553280333,O. Carol Simonton Md,Education ,Bantam,1992,0,10,Library
Northwest Wines and Wineries,91,961769947,Chuck Hill,Education ,Speed Graphics,1993,0,10,Library
An Atmosphere of Eternity: Stories of India,92,964778319,David Iglehart,Education ,Sunflower Press,2002,0,10,Library
LONESOME DOVE,93,671623249,Larry McMurtry,Education ,Pocket,1986,0,10,Library
Shabanu: Daughter of the Wind (Border Trilogy),94,679810307,SUZANNE FISHER STAPLES,Education ,Laurel Leaf,1991,0,10,Library
Haveli (Laurel Leaf Books),95,679865691,SUZANNE FISHER STAPLES,Education ,Laurel Leaf,1995,0,10,Library
Lieux dits,96,2070423204,Michel Tournier,Education ,Gallimard,2002,0,10,Library
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,97,345260317,Carl Sagan,Education ,Ballantine Books,1978,0,10,Library
The yawning heights,98,394743741,Aleksandr Zinoviev,Education ,Random House,1980,0,10,Library
Breathing Lessons,99,042511774X,Anne Tyler,Education ,Berkley Publishing Group,1994,0,10,Library
The Joy Luck Club,100,804106304,Amy Tan,Education ,Prentice Hall (K-12),1994,0,10,Library
Heart of Darkness (Wordsworth Collection),101,1853262404,Joseph Conrad,Education ,NTC/Contemporary Publishing Company,1998,0,10,Library
The Angel Is Near,102,312970242,Deepak Chopra,Education ,St. Martin's Press,2000,0,10,Library
Tess of the D'Urbervilles (Wordsworth Classics),103,1853260053,Thomas Hardy,Education ,NTC/Contemporary Publishing Company,1997,0,10,Library
The Adventures of Drew and Ellie: The Magical Dress,104,1414035004,Charles Noland,Education ,1stBooks Library,2003,0,10,Library
The Accidental Virgin,105,60938412,Valerie Frankel,Education ,Avon Trade,2003,0,10,Library
The Tao of Pooh,106,140067477,Benjamin Hoff,Education ,Penguin Books,1983,0,10,Library
Seabiscuit,107,345465083,LAURA HILLENBRAND,Education ,Ballantine Books,2003,0,10,Library
The Prince,108,451625889,Niccolo Machiavelli,Education ,Signet Book,1952,0,10,Library
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),109,1558531025,H. Jackson Brown,Education ,Thomas Nelson,1991,0,10,Library
Starship Troopers,110,441783589,Robert A. Heinlein,Education ,Ace Books,1987,0,10,Library
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",111,394895894,PHILIP PULLMAN,Education ,Laurel Leaf,1988,0,10,Library
Black Beauty (Illustrated Classics),112,1569871213,Anna Sewell,Education ,Landoll,1995,0,10,Library
Anil's Ghost,113,375410538,MICHAEL ONDAATJE,Education ,Knopf,2000,0,10,Library
Prescription for Terror,114,966986105,Sandra Levy Ceren,Education ,Andrew Scott Publishers,1999,0,10,Library
Modern Manners: An Etiquette Book for Rude People,115,087113375X,P.J. O'Rourke,Education ,Atlantic Monthly Press,1990,0,10,Library
Turning Thirty,116,340767936,Mike Gayle,Education ,Hodder &amp; Stoughton General Division,2000,0,10,Library
Decipher,117,743403843,Stel Pavlou,Education ,Simon &amp; Schuster (Trade Division),2002,0,10,Library
"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",118,60930365,Sarah Payne Stuart,Education ,Perennial,1999,0,10,Library
Standing Firm: A Vice-Presidential Memoir,119,60177586,Dan Quayle,Education ,Harpercollins,1994,0,10,Library
Team Bush : Leadership Lessons from the Bush White House,120,71416331,Donald F. Kettl,Education ,McGraw-Hill,2003,0,10,Library
The Right Man : The Surprise Presidency of George W. Bush,121,375509038,DAVID FRUM,Education ,Random House,2003,0,10,Library
