BookName,BookId,ISSN,Auth,Category,Publisher,PublishTime,isBorrowed,location
力学,1,1,刘斌,教育,中国科学技术大学 ,1999-01-01,0,
微积分,2,2,牛顿莱布尼兹,教育,中国科学技术大学,1998-01-01,1,
电动力学,3,3,叶邦角,教育,中国科学技术大学,2003-01-01,0,
数据库,4,4,袁平波,教育,中国科学技术大学,2010-01-01,0,
电磁学,5,5,叶邦角,教育,中国科学技术大学 ,2012-01-01,0,
数学分析,6,6,陈卿,教育,中国科学技术大学,2013-01-01,0,
吉米多维奇题解1,7,7,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
吉米多维奇题解2,8,8,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
吉米多维奇题解3,9,9,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
吉米多维奇题解4,10,10,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
吉米多维奇题解5,11,11,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
吉米多维奇题解6,12,12,吉米多维奇,教育,俄罗斯出版社,2010-01-01,0,
朗道力学,13,13,朗道,教育,高等教育出版社,2012-01-01,0,
朗道量子力学,14,14,朗道,教育,高等教育出版社,2012-01-01,0,
朗道量子电动力学,15,15,朗道,教育,高等教育出版社,2012-01-01,0,
朗道统计物理学,16,16,朗道,教育,高等教育出版社,2012-01-01,0,
朗道流体力学,17,17,朗道,教育,高等教育出版社,2012-01-01,0,
朗道弹性理论力学,18,18,朗道,教育,高等教育出版社,2012-01-01,0,
朗道物理动力学,19,19,朗道,教育,高等教育出版社,2012-01-01,0,
植物学,20,20,佚名,生物学,高等教育出版社,2011-05-01,0,
动物学,21,21,佚名,生物学,高等教育出版社,2011-05-01,0,
细胞生物学,22,22,佚名,生物学,高等教育出版社,2011-05-01,0,
动物生理学,23,23,佚名,生物学,高等教育出版社,2011-05-01,0,
古生物学,24,24,佚名,生物学,高等教育出版社,2011-05-01,0,
高等数学,25,25,佚名,教育,高等教育出版社,2011-05-01,0,
线性代数,26,26,佚名,教育,高等教育出版社,2011-05-01,0,
C++程序设计,27,27,孙广中,教育,中国科学技术大学,2011-05-01,0,
C程序设计,28,28,郑重,教育,中国科学技术大学,2011-05-01,1,
数据结构,29,29,顾为兵,教育,中国科学技术大学,2011-05-01,1,
信号与系统,30,30,李卫平,教育,中国科学技术大学,2011-05-01,0,
线性电子线路,31,31,陆伟,教育,中国科学技术大学,2011-05-01,0,
朗道电动力学,32,32,朗道,教育,中国科学技术大学,2012-01-01,0,
Classical Mythology,33,195153448,Mark P. O. Morford,Education ,Oxford University Press,2002
Clara Callan,34,2005018,Richard Bruce Wright,Education ,HarperFlamingo Canada,2001
Decision in Normandy,35,60973129,Carlo D'Este,Education ,HarperPerennial,1991
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,36,374157065,Gina Bari Kolata,Education ,Farrar Straus Giroux,1999
The Mummies of Urumchi,37,393045218,E. J. W. Barber,Education ,W. W. Norton &amp; Company,1999
The Kitchen God's Wife,38,399135782,Amy Tan,Education ,Putnam Pub Group,1991
What If?: The World's Foremost Military Historians Imagine What Might Have Been,39,425176428,Robert Cowley,Education ,Berkley Publishing Group,2000
PLEADING GUILTY,40,671870432,Scott Turow,Education ,Audioworks,1993
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,41,679425608,David Cordingly,Education ,Random House,1996
Where You'll Find Me: And Other Stories,42,074322678X,Ann Beattie,Education ,Scribner,2002
Nights Below Station Street,43,771074670,David Adams Richards,Education ,Emblem Editions,1988
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,44,080652121X,Adam Lebor,Education ,Citadel Press,2000
The Middle Stories,45,887841740,Sheila Heti,Education ,House of Anansi Press,2004
Jane Doe,46,1552041778,R. J. Kaiser,Education ,Mira Books,1999
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),47,1558746218,Jack Canfield,Education ,Health Communications,1998
The Witchfinder (Amos Walker Mystery Series),48,1567407781,Loren D. Estleman,Education ,Brilliance Audio - Trade,1998
More Cunning Than Man: A Social History of Rats and Man,49,1575663937,Robert Hendrickson,Education ,Kensington Publishing Corp.,1999
Goodbye to the Buttermilk Sky,50,1881320189,Julia Oliver,Education ,River City Pub,1994
The Testament,51,440234743,John Grisham,Education ,Dell,1999
Beloved (Plume Contemporary Fiction),52,452264464,Toni Morrison,Education ,Plume,1994
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,53,609804618,The Onion,Education ,Three Rivers Press,1999
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,54,1841721522,Celia Brooks Brown,Education ,Ryland Peters &amp; Small Ltd,2001
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,55,1879384493,J. R. Parrish,Education ,Cypress House,2003
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),56,61076031,Mary-Kate &amp; Ashley Olsen,Education ,HarperEntertainment,2000
